"key","status","en_was","en","translation"
"common.localeBetaHint","new","","Beta languages: some content may still appear in English.","Limbi beta: o parte din conținut poate apărea încă în engleză."
"common.localeSuggest.aria","new","","Language suggestion","Sugestie de limbă"
"common.localeSuggest.body","new","","This page is also available in English.","Această pagină este disponibilă și în română."
"common.localeSuggest.cta","new","","Switch to English","Treci la română"
"common.localeSuggest.dismiss","new","","Dismiss","Închide"
"common.localeSwitchHeading","new","","Language","Limbă"
"common.skipTo.map","new","","Skip to map","Salt la hartă"
"common.skipTo.results","new","","Skip to results","Salt la rezultate"
"data.airport.lca.city","new","","Larnaca","Larnaca"
"data.airport.lca.tips.0","new","","Free WiFi at arrivals. Grab a coffee and browse if you haven't already.","WiFi gratuit la sosiri. Ia o cafea și organizează-te în liniște."
"data.airport.lca.tips.1","new","","EU SIMs work. Local SIMs available at arrivals for data.","Cartelele SIM din UE funcționează. SIM-uri locale pentru date, la sosiri."
"data.airport.lca.tips.2","new","","Euro (€) only. ATMs and exchange at arrivals. Small village shops prefer cash.","Doar euro (€). Bancomate și schimb valutar la sosiri. Micile magazine din sate preferă numerar."
"data.airport.lca.tips.3","new","","Emergency 112 · Tourist info 1460 · Save both.","Urgențe 112 · Informații turistice 1460 · Salvează-le pe amândouă."
"data.airport.lca.transport.bus.approxCost","new","","€8 to 15 one-way","8 până la 15 € pe sens"
"data.airport.lca.transport.bus.description","new","","Kapnos shuttle to main resorts. Comfortable, affordable.","Shuttle Kapnos spre principalele stațiuni. Confortabil și ieftin."
"data.airport.lca.transport.bus.duration","new","","30 to 90 min","30 până la 90 min"
"data.airport.lca.transport.bus.tip","new","","Check schedules for your resort; book online or at desk.","Verifică orarele pentru stațiunea ta; bilete online sau la ghișeu."
"data.airport.lca.transport.bus.type","new","","Bus","Autobuz"
"data.airport.lca.transport.car-rental.approxCost","new","","€25 to 60/day","25 până la 60 €/zi"
"data.airport.lca.transport.car-rental.description","new","","Drive on the left. International license accepted.","Se conduce pe stânga. Permisul internațional este acceptat."
"data.airport.lca.transport.car-rental.tip","new","","Book in advance; major companies at arrivals.","Rezervă din timp; marile companii sunt la sosiri."
"data.airport.lca.transport.car-rental.type","new","","Car rental","Închiriere auto"
"data.airport.lca.transport.taxi.approxCost","new","","€25 to 45 to Larnaca, €50 to 70 to Limassol, €80 to 100 to Paphos","25 până la 45 € spre Larnaca, 50 până la 70 € spre Limassol, 80 până la 100 € spre Paphos"
"data.airport.lca.transport.taxi.description","new","","Meet & greet, fixed rates. Best for late arrivals or groups.","Șoferul te așteaptă la sosiri, tarife fixe. Cel mai bun pentru sosiri târzii sau grupuri."
"data.airport.lca.transport.taxi.duration","new","","15 to 60 min","15 până la 60 min"
"data.airport.lca.transport.taxi.tip","new","","Pre-book online for best rates; drivers meet you at arrivals.","Rezervă online pentru cele mai bune tarife; șoferii te așteaptă la sosiri."
"data.airport.lca.transport.taxi.type","new","","Taxi","Taxi"
"data.airport.pfo.city","new","","Paphos","Paphos"
"data.airport.pfo.tips.0","new","","Smaller than Larnaca. Usually quicker through customs.","Mai mic decât Larnaca. De obicei treci mai repede de control."
"data.airport.pfo.tips.1","new","","Ancient sites, beaches, wine villages within reach. Coral Bay, mosaics, Lara Beach.","Situri antice, plaje și sate viticole la îndemână. Coral Bay, mozaicuri, plaja Lara."
"data.airport.pfo.tips.2","new","","Drive on the left. Emergency 112 · Tourist info 1460.","Se conduce pe stânga. Urgențe 112 · Informații turistice 1460."
"data.airport.pfo.transport.bus.approxCost","new","","€2 to 4","2 până la 4 €"
"data.airport.pfo.transport.bus.description","new","","612 to Paphos harbour and resort areas. Cheap and straightforward.","Linia 612 spre portul Paphos și zonele de stațiune. Ieftin și simplu."
"data.airport.pfo.transport.bus.duration","new","","30 to 45 min","30 până la 45 min"
"data.airport.pfo.transport.bus.tip","new","","Runs regularly; check timetables for evening arrivals.","Circulă regulat; verifică orarele de seară."
"data.airport.pfo.transport.bus.type","new","","Bus","Autobuz"
"data.airport.pfo.transport.car-rental.approxCost","new","","€25 to 60/day","25 până la 60 €/zi"
"data.airport.pfo.transport.car-rental.description","new","","Best if you plan to hit the mosaics, beaches, and wine villages. The west rewards a car.","Cea mai bună alegere dacă vrei mozaicuri, plaje și sate viticole. Vestul răsplătește mașina."
"data.airport.pfo.transport.car-rental.tip","new","","Mosaics, villages, Lara Beach: all within an hour. Book ahead and you're set.","Mozaicuri, sate, plaja Lara: totul la o oră distanță. Rezervă din timp și ești gata."
"data.airport.pfo.transport.car-rental.type","new","","Car rental","Închiriere auto"
"data.airport.pfo.transport.taxi.approxCost","new","","€25 to 35 to Paphos, €60 to 80 to Limassol, €120 to 150 to Larnaca","25 până la 35 € spre Paphos, 60 până la 80 € spre Limassol, 120 până la 150 € spre Larnaca"
"data.airport.pfo.transport.taxi.description","new","","Meet & greet at arrivals. Fixed fares to Paphos, Coral Bay, Limassol.","Șoferul te așteaptă la sosiri. Tarife fixe spre Paphos, Coral Bay, Limassol."
"data.airport.pfo.transport.taxi.duration","new","","15 to 90 min","15 până la 90 min"
"data.airport.pfo.transport.taxi.tip","new","","Pre-booking avoids queues; 24/7 availability.","Rezervarea din timp evită cozile; disponibil non-stop."
"data.airport.pfo.transport.taxi.type","new","","Taxi","Taxi"
"data.attractions.agros.openingHours","new","","Rose factory 8 to 17; tours by arrangement","Fabrica de trandafiri 8–17; tururi cu programare"
"data.attractions.agros.winterTip","new","","Roses bloom Apr to May. In winter the factory uses stored harvest. Tours still run. Rose water, loukoumi. The tavernas are warm. The mountain air is cold.","Trandafirii înfloresc apr–mai. Iarna fabrica folosește recolta depozitată. Tururile continuă. Apă de trandafiri, loukoumi. Tavernele sunt calde. Aerul de munte e rece."
"data.attractions.amahti.openingHours","new","","Daily 8:30 to 17:00 (winter)","Zilnic 8:30–17:00 (iarna)"
"data.attractions.amahti.winterTip","new","","Winter is ideal; summer heat can be brutal. Combine with Governor's Beach for a coastal day.","Iarna e ideală; arșița verii poate fi brutală. Combinați cu Governor's Beach pentru o zi pe coastă."
"data.attractions.angeloktisti.openingHours","new","","Winter (1 Oct to 31 Apr): Mon to Sat 7:00 to 16:45, Sun 9:30 to 16:45 (DMT 2025). Confirm locally.","Iarna (1 oct–31 apr): lun–sâm 7:00–16:45, dum 9:30–16:45 (DMT 2025). Confirmați la fața locului."
"data.attractions.angeloktisti.winterTip","new","","Quiet village church. Most tour buses skip it. Winter mornings are ideal. Combine with Zygi or Lefkara for a Larnaca hinterland day.","Biserică de sat liniștită. Majoritatea autocarelor o ocolesc. Diminețile de iarnă sunt ideale. Combinați cu Zygi sau Lefkara pentru o zi în interiorul regiunii Larnaca."
"data.attractions.archangelos-michail.openingHours","new","","Tue to Sat 10:00 to 16:30, Sun 11:00 to 16:30 (winter 16 Sep to 15 Apr). Closed Mon. Confirm locally.","Mar–sâm 10:00–16:30, dum 11:00–16:30 (iarna: 16 sep–15 apr). Închis lunea. Confirmați la fața locului."
"data.attractions.archangelos-michail.winterTip","new","","Winter hours 16 Sep to 15 Apr (Deputy Ministry of Culture, Aug 2025). Ask at the Folk Art Museum or café if the door is locked.","Program de iarnă 16 sep–15 apr (Ministerul Culturii, aug. 2025). Dacă ușa e încuiată, întrebați la Muzeul de Artă Populară sau la cafenea."
"data.attractions.athalassa-forest-park.openingHours","new","","Park open dawn to dusk. Visitor centre hours vary — call ahead off-season.","Parcul e deschis din zori până în amurg. Programul centrului variază — în extrasezon sunați înainte."
"data.attractions.athalassa-forest-park.winterTip","new","","After rain, stick to main tracks—side paths muddy. Visitor centre open weekdays; check hours off-season. Layer for cycling descents.","După ploaie rămâneți pe traseele principale — potecile laterale sunt noroioase. Centrul de vizitatori e deschis în zilele lucrătoare; verificați programul în extrasezon. Straturi pentru coborârile pe bicicletă."
"data.attractions.ayia-napa-sea-caves.bestTimeToVisit","new","","Late afternoon for golden light; combine with Cape Greco and Konnos.","După-amiaza târziu pentru lumina aurie; combinați cu Capul Greco și Konnos."
"data.attractions.ayia-napa-sea-caves.openingHours","new","","Open cliff-top year-round.","Faleză cu acces liber tot anul."
"data.attractions.ayia-napa-sea-caves.winterTip","new","","Winter light is golden and low; ideal for photography. Sea too cold for swimming; bring a wind layer. Combine with Cape Greco trail.","Lumina de iarnă e aurie și joasă; ideală pentru fotografie. Marea e prea rece pentru înot; luați o haină de vânt. Combinați cu traseul Capul Greco."
"data.attractions.bellapais.openingHours","new","","Daily 9 to 17 (winter); may vary in north Cyprus","Zilnic 9–17 (iarna); poate varia în nordul Ciprului"
"data.attractions.bellapais.winterTip","new","","Winter concerts in the refectory. Check programme for dates. Dress warm; the stone holds the cold. The abbey at dusk.","Concerte de iarnă în trapeza mănăstirii. Verificați programul. Îmbrăcați-vă gros; piatra ține frigul. Abația în amurg."
"data.attractions.buffavento.openingHours","new","","Daily 9 to 17 (north Cyprus; may vary)","Zilnic 9–17 (nordul Ciprului; poate varia)"
"data.attractions.buffavento.winterTip","new","","North Cyprus. Dress warm; the castle catches the wind. Verify border access from the south before you travel. Clear winter days offer the best visibility. The climb warms you up.","Nordul Ciprului. Îmbrăcați-vă gros; castelul prinde vântul. Verificați trecerea graniței dinspre sud înainte de drum. Zilele senine de iarnă oferă cea mai bună vizibilitate. Urcușul vă încălzește."
"data.attractions.cape-greco-climbing.bestTimeToVisit","new","","Dec to Mar, morning for calm wind","Dec–mar, dimineața pentru vânt calm"
"data.attractions.cape-greco-climbing.winterTip","new","","Mild coast when Troodos is cold. Check wind; exposed ridges need calm days. Guided climbing recommended if new to the area.","Coastă blândă când Troodos e rece. Verificați vântul; crestele expuse cer zile calme. Cățărare cu ghid recomandată dacă zona e nouă pentru voi."
"data.attractions.choirokoitia.bestTimeToVisit","new","","Dec to Feb, 10am to 12pm (warmer, less mist)","Dec–feb, 10:00–12:00 (mai cald, mai puțină ceață)"
"data.attractions.choirokoitia.openingHours","new","","Daily 8:30 to 17:00 (winter 16 Sep to 15 Apr)","Zilnic 8:30–17:00 (iarna: 16 sep–15 apr)"
"data.attractions.choirokoitia.winterTip","new","","Winter mornings can be misty; dramatic for photos. The site is compact; allow 1 to 1.5 hours.","Diminețile de iarnă pot fi cețoase; dramatic pentru fotografii. Situl e compact; alocați 1–1,5 ore."
"data.attractions.chrysorrogiatissa.openingHours","new","","Daily 9 to 12, 15 to 18 (winter); museum 9 to 13, 14 to 17","Zilnic 9–12, 15–18 (iarna); muzeu 9–13, 14–17"
"data.attractions.chrysorrogiatissa.winterTip","new","","Paphos region stays mild. The views over the district are clear in winter. Buy a bottle. Combine with Vouni Panayia for a full wine-and-monastery day.","Regiunea Paphos rămâne blândă. Priveliștile asupra districtului sunt clare iarna. Cumpărați o sticlă. Combinați cu Vouni Panayia pentru o zi întreagă de vin și mănăstire."
"data.attractions.coral-bay.bestTimeToVisit","new","","Late afternoon for sunset; combine with Pafos mosaics or Tomb of Kings.","După-amiaza târziu pentru apus; combinați cu mozaicurile din Paphos sau Mormintele Regilor."
"data.attractions.coral-bay.openingHours","new","","Open shoreline year-round. Tavernas often stay open.","Țărm liber tot anul. Tavernele sunt adesea deschise."
"data.attractions.coral-bay.winterTip","new","","Winter sunsets around 5pm Dec to Jan. Fewer crowds, mild for a stroll.","Apusuri de iarnă pe la 17:00 în dec–ian. Mai puțină lume, blând pentru o plimbare."
"data.attractions.cyprus-museum.openingHours","new","","Tue to Fri 8 to 18, Sat 9 to 17, Sun 10 to 13; closed Mon","Mar–vin 8–18, sâm 9–17, dum 10–13; închis lunea"
"data.attractions.cyprus-museum.winterTip","new","","Best rainy-day escape. The galleries stay warm and dry. Combine with Ledra Street and a café; the museum sits in central Nicosia.","Cea mai bună evadare pe ploaie. Sălile rămân calde și uscate. Combinați cu strada Ledra și o cafenea; muzeul e în centrul Nicosiei."
"data.attractions.fig-tree-bay.bestTimeToVisit","new","","Morning or afternoon; Cape Greco trail first, then Fig Tree Bay.","Dimineața sau după-amiaza; întâi traseul Capul Greco, apoi Fig Tree Bay."
"data.attractions.fig-tree-bay.openingHours","new","","Open shoreline year-round. Promenade cafés often stay open.","Țărm liber tot anul. Cafenelele de pe promenadă sunt adesea deschise."
"data.attractions.fig-tree-bay.winterTip","new","","Protected bay; mild for winter walks. Promenade cafés stay open. Combine with Protaras and Cape Greco.","Golf adăpostit; blând pentru plimbări de iarnă. Cafenelele de pe promenadă rămân deschise. Combinați cu Protaras și Capul Greco."
"data.attractions.fikardou.openingHours","new","","Museum 9 to 16; village always open","Muzeu 9–16; satul e mereu deschis"
"data.attractions.fikardou.winterTip","new","","UNESCO village. The museum opens 9 to 16. Winter is quiet. Combine with a Nicosia or Troodos day. The silence is the gift.","Sat UNESCO. Muzeul e deschis 9–16. Iarna e liniștită. Combinați cu o zi la Nicosia sau în Troodos. Liniștea e darul."
"data.attractions.foini.openingHours","new","","Museum 9 to 16 (check for winter hours); workshops vary","Muzeu 9–16 (verificați programul de iarnă); atelierele variază"
"data.attractions.foini.winterTip","new","","Detour on the way to Platres or Troodos. The museum and workshops stay open. Winter is quiet. Take home a small jug or bowl.","Un ocol în drum spre Platres sau Troodos. Muzeul și atelierele rămân deschise. Iarna e liniștită. Luați acasă un ulcior mic sau un bol."
"data.attractions.gerakopetra-boulders.bestTimeToVisit","new","","Dec to Mar, 10am to 3pm","Dec–mar, 10:00–15:00"
"data.attractions.gerakopetra-boulders.winterTip","new","","Prime season Dec to Mar on dry days. Northeast sectors stay cold—start mid-morning or head to Episkopi for sun. Bring layers for belaying. Wait 24 hours after rain—sandstone needs to dry. Gravel road can be muddy; 4x4 helpful not essential.","Sezonul de vârf dec–mar în zilele uscate. Sectoarele de nord-est rămân reci — începeți la mijlocul dimineții sau mergeți la Episkopi pentru soare. Luați straturi pentru asigurare. Așteptați 24 de ore după ploaie — gresia trebuie să se usuce. Drumul de pietriș poate fi noroios; 4×4 e util, dar nu esențial."
"data.attractions.governors-beach.bestTimeToVisit","new","","Lunch; Kourion in the morning, Governor's Beach for fish.","La prânz; Kourion dimineața, Governor's Beach pentru pește."
"data.attractions.governors-beach.openingHours","new","","Open shoreline year-round. Cliff tavernas often stay open.","Țărm liber tot anul. Tavernele de pe faleză sunt adesea deschise."
"data.attractions.governors-beach.winterTip","new","","Ideal for a winter coastal lunch; 18°C and sunny. Cliff tavernas open year-round. Combine with Kourion or Kolossi.","Ideală pentru un prânz de iarnă pe coastă; 18°C și soare. Tavernele de pe faleză sunt deschise tot anul. Combinați cu Kourion sau Kolossi."
"data.attractions.idalion.openingHours","new","","Local museum Mon to Fri 8:30 to 16:00 (DMT 2025). Archaeological park hours vary — call 22 444818.","Muzeul local lun–vin 8:30–16:00 (DMT 2025). Programul parcului arheologic variază — tel. 22 444818."
"data.attractions.idalion.winterTip","new","","Fewer visitors in winter. You might have the site to yourself. The olive trees and hilltop views are worth the detour from Nicosia.","Mai puțini vizitatori iarna. S-ar putea să aveți situl doar pentru voi. Măslinii și priveliștea de pe deal merită ocolul de la Nicosia."
"data.attractions.kakopetria.bestTimeToVisit","new","","Dec to Feb, lunch or early afternoon (warmer in the valley)","Dec–feb, la prânz sau după-amiaza devreme (mai cald în vale)"
"data.attractions.kakopetria.openingHours","new","","Tavernas 12 to 22; shops 9 to 18","Taverne 12–22; magazine 9–18"
"data.attractions.kakopetria.winterTip","new","","Trout tavernas by the river are cosy in winter. Try trout with almonds or the local sausages.","Tavernele cu păstrăv de lângă râu sunt primitoare iarna. Încercați păstrăvul cu migdale sau cârnații locali."
"data.attractions.kalopanagiotis.openingHours","new","","Thermal baths vary; bridge and village always open","Programul băilor variază; podul și satul sunt mereu deschise"
"data.attractions.kalopanagiotis.winterTip","new","","Thermal springs are extra welcome in winter. The valley is cold and crisp. Book a soak. The bridge and Lampadistis church. Allow an hour.","Izvoarele termale sunt de două ori binevenite iarna. Valea e rece și limpede. Rezervați o baie. Podul și biserica Lampadistis. Alocați o oră."
"data.attractions.kition.bestTimeToVisit","new","","Tue to Fri morning; salt lake flamingos after","Mar–vin dimineața; apoi flamingii de la lacul sărat"
"data.attractions.kition.openingHours","new","","Mon to Fri 8:30 to 16:00 (winter 16 Sep to 15 Apr). Closed Sat and Sun.","Lun–vin 8:30–16:00 (iarna: 16 sep–15 apr). Închis sâm și dum."
"data.attractions.kition.winterTip","new","","Winter hours are weekdays 8:30 to 16:00; closed Saturday and Sunday. Combine with the salt lake or Angeloktisti, not a weekend-only Larnaca day.","Programul de iarnă e în zilele lucrătoare 8:30–16:00; închis sâmbăta și duminica. Combinați cu lacul sărat sau Angeloktisti — nu pentru o zi la Larnaca doar în weekend."
"data.attractions.koilani.openingHours","new","","Wine museum 10 to 16; tavernas 12 to 22","Muzeul vinului 10–16; taverne 12–22"
"data.attractions.koilani.winterTip","new","","Commandaria Festival in December. Wine museum 10 to 16. Even in January the tavernas are warm. Combine with Vlassides, Omodos, Pera Pedi. Plan to eat.","Festivalul Commandaria în decembrie. Muzeul vinului 10–16. Chiar și în ianuarie tavernele sunt calde. Combinați cu Vlassides, Omodos, Pera Pedi. Planificați o masă."
"data.attractions.kolossi.bestTimeToVisit","new","","Dec to Mar, mid-morning (warm enough to climb to roof)","Dec–mar, la mijlocul dimineții (destul de cald pentru acoperiș)"
"data.attractions.kolossi.openingHours","new","","Daily 8:30 to 17:00 (winter)","Zilnic 8:30–17:00 (iarna)"
"data.attractions.kolossi.winterTip","new","","Combine with a Commandaria tasting; Zambartas is nearby, or Kolios in the Paphos hills. Castle takes 30 to 45 min.","Combinați cu o degustare de Commandaria; Zambartas e aproape, sau Kolios în dealurile din Paphos. Castelul durează 30–45 min."
"data.attractions.konnos-bay.bestTimeToVisit","new","","Morning; do Cape Greco trail first, Konnos for a break.","Dimineața; întâi traseul Capul Greco, Konnos pentru o pauză."
"data.attractions.konnos-bay.openingHours","new","","Open shoreline year-round. No facilities on the sand.","Țărm liber tot anul. Fără facilități pe nisip."
"data.attractions.konnos-bay.winterTip","new","","Combine with Cape Greco Coastal Path; trailhead nearby. Winter sun and empty sand.","Combinați cu poteca de coastă Capul Greco; startul e în apropiere. Soare de iarnă și nisip pustiu."
"data.attractions.kourion.bestTimeToVisit","new","","Dec to Mar, late afternoon for sunset","Dec–mar, după-amiaza târziu pentru apus"
"data.attractions.kourion.openingHours","new","","Daily 8:30 to 17:00 (winter)","Zilnic 8:30–17:00 (iarna)"
"data.attractions.kourion.winterTip","new","","The theatre faces west; sunset in winter around 4:30pm. Bring a wind layer; the cliff catches breezes.","Teatrul e orientat spre vest; iarna apusul e pe la 16:30. Luați o haină de vânt; pe faleză bate briza."
"data.attractions.kykkos.openingHours","new","","Daily 10 to 18 (winter); museum 10 to 16","Zilnic 10–18 (iarna); muzeu 10–16"
"data.attractions.kykkos.winterTip","new","","The drive can be snowy in Jan to Feb. Check road conditions. The forest in winter light. Allow half a day minimum.","Drumul poate fi înzăpezit ian–feb. Verificați condițiile. Pădurea în lumina iernii. Alocați minimum o jumătate de zi."
"data.attractions.lara-bay.bestTimeToVisit","new","","Morning; combine with Adonis or Aphrodite trail, Polis for lunch.","Dimineața; combinați cu traseul Adonis sau Afrodita, Polis la prânz."
"data.attractions.lara-bay.openingHours","new","","Open shoreline year-round. No facilities; pack water.","Țărm liber tot anul. Fără facilități; luați apă."
"data.attractions.lara-bay.winterTip","new","","No nesting in winter; beach is empty. 4WD recommended for the access road. Combine with Akamas trails.","Fără cuibărit iarna; plaja e goală. Se recomandă 4×4 pentru drumul de acces. Combinați cu traseele din Akamas."
"data.attractions.larnaca-aliki.bestTimeToVisit","new","","Nov to Mar, first light or late afternoon","Nov–mar, la prima lumină sau după-amiaza târziu"
"data.attractions.larnaca-aliki.openingHours","new","","Open shoreline year-round. No ticket for the lake path.","Acces liber tot anul. Fără bilet pentru poteca lacului."
"data.attractions.larnaca-aliki.winterTip","new","","Flamingos typically from November to March; peak mid-winter. Arrive early. Stay on the path — the lake is a protected reserve.","Flamingii apar de regulă din noiembrie până în martie; vârful e la mijlocul iernii. Veniți devreme. Rămâneți pe potecă — lacul e rezervație protejată."
"data.attractions.lefkara.bestTimeToVisit","new","","Dec to Feb, weekday mornings (fewer tour groups)","Dec–feb, dimineți din timpul săptămânii (mai puține grupuri)"
"data.attractions.lefkara.openingHours","new","","Shops 9 to 18; some close for lunch","Magazine 9–18; unele se închid la prânz"
"data.attractions.lefkara.winterTip","new","","Lacemakers sit in doorways; winter light is ideal for photos. Bring a warm layer; it's 700m up.","Dantelăresele stau în praguri; lumina de iarnă e ideală pentru fotografii. Luați ceva gros; satul e la 700 m."
"data.attractions.leventis-museum.openingHours","new","","Tue to Sun 10 to 16:30; closed Mon and public holidays","Mar–dum 10–16:30; închis lunea și de sărbătorile legale"
"data.attractions.leventis-museum.winterTip","new","","Free entry. Ideal rainy-day refuge. Near Ledra Street; combine with old-town wander and a café. Allow two hours.","Intrare gratuită. Refugiu ideal pe ploaie. Lângă strada Ledra; combinați cu o plimbare prin orașul vechi și o cafenea. Alocați două ore."
